"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-2.28106666122673,0.244548475604465,-2.73963681326357,-1.76127929320368,1.00208375848561,1333.47913045102,1306.32390344868
"camera_newE.coli",-0.585155466705132,0.148457112449164,-0.883249586420432,-0.302373638590461,1.00088872040826,3112.78800430806,2167.9551710105
