"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-3.31991061795893,0.116189391129737,-3.54328691795762,-3.07886934239157,1.00272753836405,2353.5943736063,1771.79619164898
"camera_newE.coli",-0.285926063851717,0.112265323871269,-0.50626930088185,-0.0685473146227373,1.00160830576327,3717.03038835563,2639.99131281196
