"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"zero_inflated_beta_logit",0,0,292.02577169841,31.326688241135,6.96329682099878,0.755657593274228,-584.051543396821,62.6533764822699
"gaussian_identity",-105.782201214745,30.3878571806066,186.243570483666,19.7196877498435,8.11277010146091,2.14620718675198,-372.487140967332,39.439375499687
