"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-2.91190642764395,0.124688316425225,-3.14792355521315,-2.65790604370164,1.00126344668848,1750.50164751286,1543.87177254751
"camera_newE.coli",-0.2832117405797,0.117461596790058,-0.518122193840251,-0.0489593382719845,1.00108927675456,3034.37372085815,2758.27919960138
