"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"beta_logit",0,0,418.770700289234,22.3535707834733,5.57279681894139,1.45520918016294,-837.541400578469,44.7071415669467
"gaussian_identity",-170.661904389254,10.4367280778777,248.10879589998,24.9571438994764,10.3434525372028,3.63777678829985,-496.21759179996,49.9142877989529
