individuals,video,near_food,camera,video_number,Day
individual1,GX024_2,0.0406776967843168,2,24,1.5
individual10,GX024_2,0.0259201144060222,2,24,1.5
individual11,GX024_2,0.279242060102886,2,24,1.5
individual12,GX024_2,0.0685244403837368,2,24,1.5
individual13,GX024_2,0.0122549506425407,2,24,1.5
individual14,GX024_2,0.0128706774981627,2,24,1.5
individual15,GX024_2,0.1814805251554213,2,24,1.5
individual16,GX024_2,0.0188889109579518,2,24,1.5
individual17,GX024_2,0.1789183069497686,2,24,1.5
individual18,GX024_2,0.1627107871372673,2,24,1.5
individual2,GX024_2,0.0049655391582418,2,24,1.5
individual3,GX024_2,0.0559914195483345,2,24,1.5
individual4,GX024_2,0.1102548314696009,2,24,1.5
individual5,GX024_2,0.180487417323773,2,24,1.5
individual6,GX024_2,0.049655391582418,2,24,1.5
individual7,GX024_2,0.484577035374501,2,24,1.5
individual8,GX024_2,0.007845551870022,2,24,1.5
individual9,GX024_2,0.0143206149323693,2,24,1.5
individual19,GX024_2,3.9724313265934414e-05,2,24,1.5
individual20,GX024_2,0.0027012533020835,2,24,1.5
individual1,GX025_2,0.0150518101099227,2,25,2.0
individual10,GX025_2,0.0696609635382875,2,25,2.0
individual11,GX025_2,0.1070680482695979,2,25,2.0
individual12,GX025_2,0.0004819545109088,2,25,2.0
individual13,GX025_2,0.222088345969192,2,25,2.0
individual14,GX025_2,0.1523346988711142,2,25,2.0
individual15,GX025_2,0.1025265538398798,2,25,2.0
individual16,GX025_2,0.2280015570838044,2,25,2.0
individual17,GX025_2,0.2875600126049641,2,25,2.0
individual18,GX025_2,0.1349472630544794,2,25,2.0
individual2,GX025_2,0.3392403655439598,2,25,2.0
individual3,GX025_2,0.084026915305763,2,25,2.0
individual4,GX025_2,0.2005857600978738,2,25,2.0
individual5,GX025_2,0.0490110664170389,2,25,2.0
individual6,GX025_2,0.0017795243479711,2,25,2.0
individual7,GX025_2,0.1632157487904795,2,25,2.0
individual8,GX025_2,0.1138339481342799,2,25,2.0
individual9,GX025_2,0.0301592303557195,2,25,2.0
individual19,GX025_2,0.0858620497896083,2,25,2.0
individual20,GX025_2,0.000574638070699,2,25,2.0
individual1,GX026_2,0.0975827755377679,2,26,2.5
individual10,GX026_2,0.0606987506703477,2,26,2.5
individual11,GX026_2,0.2209863546983931,2,26,2.5
individual12,GX026_2,0.0297336484795519,2,26,2.5
individual13,GX026_2,0.0004171052892923,2,26,2.5
individual14,GX026_2,0.0001191729397978,2,26,2.5
individual15,GX026_2,0.0694976860587522,2,26,2.5
individual16,GX026_2,1.9862156632967207e-05,2,26,2.5
individual17,GX026_2,0.061135718116273,2,26,2.5
individual18,GX026_2,0.0051244364113055,2,26,2.5
individual2,GX026_2,0.1335730033567044,2,26,2.5
individual3,GX026_2,0.0264762547917452,2,26,2.5
individual4,GX026_2,0.0433789500864003,2,26,2.5
individual5,GX026_2,0.1884918664468588,2,26,2.5
individual6,GX026_2,0.0645122847438774,2,26,2.5
individual7,GX026_2,0.0462589627981806,2,26,2.5
individual8,GX026_2,0.0035354638806681,2,26,2.5
individual9,GX026_2,0.1222515740759131,2,26,2.5
individual19,GX026_2,0.0003773809760263,2,26,2.5
individual20,GX026_2,0.0031580829046417,2,26,2.5
individual1,GX027_2,0.0760919220608973,2,27,3.0
individual10,GX027_2,0.0372216815301805,2,27,3.0
individual11,GX027_2,0.1371879158639045,2,27,3.0
individual12,GX027_2,0.0266947385147079,2,27,3.0
individual13,GX027_2,0.0019663535066637,2,27,3.0
individual14,GX027_2,0.0378771326990684,2,27,3.0
individual15,GX027_2,0.1771505750094345,2,27,3.0
individual16,GX027_2,0.0326136611913321,2,27,3.0
individual17,GX027_2,0.042981706953741,2,27,3.0
individual18,GX027_2,0.1419746956124496,2,27,3.0
individual2,GX027_2,0.0779788269410292,2,27,3.0
individual3,GX027_2,0.0504896021610026,2,27,3.0
individual4,GX027_2,0.0512245019564224,2,27,3.0
individual5,GX027_2,0.0113015671241583,2,27,3.0
individual6,GX027_2,0.1525612250978211,2,27,3.0
individual7,GX027_2,0.000595864698989,2,27,3.0
individual8,GX027_2,0.0953979383081415,2,27,3.0
individual9,GX027_2,0.0577790136453016,2,27,3.0
individual19,GX027_2,0.0736886011083083,2,27,3.0
individual20,GX027_2,0.0248475579478419,2,27,3.0
