individuals,video,delta_area,camera,video_number,Day
individual19,GX023_2,0.0199732459512526,2,23,1.0
individual20,GX023_2,0.0693304892075883,2,23,1.0
individual1,GX024_2,0.1777122219977142,2,24,1.5
individual10,GX024_2,0.0110355067984142,2,24,1.5
individual11,GX024_2,0.0168035786342584,2,24,1.5
individual12,GX024_2,0.012787829362743,2,24,1.5
individual13,GX024_2,0.0134958665528923,2,24,1.5
individual14,GX024_2,0.0122171882170936,2,24,1.5
individual15,GX024_2,0.012084365936285,2,24,1.5
individual16,GX024_2,0.0104107473237274,2,24,1.5
individual17,GX024_2,0.014456247607872,2,24,1.5
individual18,GX024_2,0.0136122810195415,2,24,1.5
individual2,GX024_2,0.1106485510407797,2,24,1.5
individual3,GX024_2,0.0559995085075239,2,24,1.5
individual4,GX024_2,0.0407198548161371,2,24,1.5
individual5,GX024_2,0.0212065938866324,2,24,1.5
individual6,GX024_2,0.015915997069972,2,24,1.5
individual7,GX024_2,0.0144177100318656,2,24,1.5
individual8,GX024_2,0.0143633849274487,2,24,1.5
individual9,GX024_2,0.0123633412817773,2,24,1.5
individual19,GX024_2,0.015821877225831,2,24,1.5
individual20,GX024_2,0.0106512446413204,2,24,1.5
individual1,GX025_2,0.2564379787151915,2,25,2.0
individual10,GX025_2,0.0129605578422541,2,25,2.0
individual11,GX025_2,0.0226496855675697,2,25,2.0
individual12,GX025_2,0.0167651827537862,2,25,2.0
individual13,GX025_2,0.0178671431405183,2,25,2.0
individual14,GX025_2,0.0145761260143763,2,25,2.0
individual15,GX025_2,0.0228984056619363,2,25,2.0
individual16,GX025_2,0.0177099373070125,2,25,2.0
individual17,GX025_2,0.0140404406883546,2,25,2.0
individual18,GX025_2,0.0161838911135604,2,25,2.0
individual2,GX025_2,0.2287854168868836,2,25,2.0
individual3,GX025_2,0.2279617091657119,2,25,2.0
individual4,GX025_2,0.0970583886096885,2,25,2.0
individual5,GX025_2,0.0922334085917303,2,25,2.0
individual6,GX025_2,0.0478688070453242,2,25,2.0
individual7,GX025_2,0.0203953208334132,2,25,2.0
individual8,GX025_2,0.0204908344158234,2,25,2.0
individual9,GX025_2,0.0173715299420978,2,25,2.0
individual19,GX025_2,0.0184196229397797,2,25,2.0
individual20,GX025_2,0.0232685516995787,2,25,2.0
individual1,GX026_2,0.3996748759149207,2,26,2.5
individual10,GX026_2,0.0108293050596398,2,26,2.5
individual11,GX026_2,0.0111295915677119,2,26,2.5
individual12,GX026_2,0.011767588784944,2,26,2.5
individual13,GX026_2,0.0188467881863866,2,26,2.5
individual14,GX026_2,0.0207769546336277,2,26,2.5
individual15,GX026_2,0.02044363208715,2,26,2.5
individual16,GX026_2,0.0179446495830053,2,26,2.5
individual17,GX026_2,0.0291915295249144,2,26,2.5
individual18,GX026_2,0.015852499096065,2,26,2.5
individual2,GX026_2,0.2969954644962527,2,26,2.5
individual3,GX026_2,0.1884787351778137,2,26,2.5
individual4,GX026_2,0.1125014233135532,2,26,2.5
individual5,GX026_2,0.0547571122754679,2,26,2.5
individual6,GX026_2,0.0331729280825457,2,26,2.5
individual7,GX026_2,0.0300083364047018,2,26,2.5
individual8,GX026_2,0.0230824158037425,2,26,2.5
individual9,GX026_2,0.0175818800999749,2,26,2.5
individual19,GX026_2,0.0254479122831137,2,26,2.5
individual20,GX026_2,0.4425059792009609,2,26,2.5
individual1,GX027_2,0.2135359859975799,2,27,3.0
individual10,GX027_2,0.0135768954747771,2,27,3.0
individual11,GX027_2,0.0228531656031771,2,27,3.0
individual12,GX027_2,0.0162287679029415,2,27,3.0
individual13,GX027_2,0.0183061437675317,2,27,3.0
individual14,GX027_2,0.0210017256951145,2,27,3.0
individual15,GX027_2,0.0134851174723084,2,27,3.0
individual16,GX027_2,0.0144010194370521,2,27,3.0
individual17,GX027_2,0.015834034361879,2,27,3.0
individual18,GX027_2,0.0199828191461568,2,27,3.0
individual2,GX027_2,0.2445314343037316,2,27,3.0
individual3,GX027_2,0.1170971492410523,2,27,3.0
individual4,GX027_2,0.0623254971849736,2,27,3.0
individual5,GX027_2,0.0448848838399521,2,27,3.0
individual6,GX027_2,0.0226724950327832,2,27,3.0
individual7,GX027_2,0.0148725375034757,2,27,3.0
individual8,GX027_2,0.0240634346084134,2,27,3.0
individual9,GX027_2,0.0141272275819508,2,27,3.0
individual19,GX027_2,0.0200612202913589,2,27,3.0
individual20,GX027_2,0.0275162381289795,2,27,3.0
